"Current Name and SPRAT ID","Current Name and SPRAT ID","Current Name and SPRAT ID","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Documents ","EPBC Act Documents ","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","Taxonomic Data","State, Territory and International Threatened Species","State, Territory and International Threatened Species",
"Taxon ID","Scientific Name","Common Name","EPBC Threat Status","EPBC Threatened Species Listed Name","EPBC Threatened Species Date Effective","EPBC Act Migratory","Marine Status","Listed Name Marine","Conservation Advice","Recovery Plan","Kingdom","Phylum","Class","Order","Family","Genus","Taxon Group","IUCN Red List","IUCN Red List Listed Names",
"8153","Acacia anomala","Grass Wattle, Chittering Grass Wattle","Vulnerable","Acacia anomala","16-JUL-2000","","","","26-Mar-08","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"75010","Acacia anthochaera","Kimberly's Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia anthochaera",
"13553","Acacia aphylla","Leafless Rock Wattle","Vulnerable","Acacia aphylla","16-JUL-2000","","","","03-Jul-08","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Vulnerable","Acacia aphylla",
"21627","Acacia aprepta","Woolly Burr Medic","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia aprepta",
"64821","Acacia aprica","Blunt Wattle","Endangered","Acacia aprica","16-JUL-2000","","","","15-Jul-16","18-Aug-04","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Endangered","Acacia aprica",
"20767","Acacia araneosa","Spidery Wattle, Balcanoona Wattle","Vulnerable","Acacia araneosa","16-JUL-2000","","","","03-Jul-08","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"5636","Acacia argyraea", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia argyraea",
"20510","Acacia argyrodendron","Blackwood, Black Gidyea","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia argyrodendron",
"64822","Acacia aristulata","Watheroo Wattle","Endangered","Acacia aristulata","16-JUL-2000","","","","03-Jul-08","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"18981","Acacia armitii", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Near Threatened","Acacia armitii",
"65110","Acacia asepala", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Near Threatened","Acacia asepala",
"10179","Acacia assimilis", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia assimilis",
"2037","Acacia ataxiphylla", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Near Threatened","Acacia ataxiphylla",
"64823","Acacia ataxiphylla subsp. magna","Large-fruited Tammin Wattle","Endangered","Acacia ataxiphylla subsp. magna","16-JUL-2000","","","","01-Oct-15","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"10690","Acacia attenuata", ,"Vulnerable","Acacia attenuata","16-JUL-2000","","","","","08-Jan-08","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"19262","Acacia aulacocarpa","Hickory Wattle, Brown Salwood, Brush Ironbark Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern, Least Concern","Acacia aulacocarpa, Acacia lamprocarpa",
"64824","Acacia auratiflora","Orange-flowered Wattle","Endangered","Acacia auratiflora","16-JUL-2000","","","","","08-Jan-10","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Vulnerable","Acacia auratiflora",
"12496","Acacia auriculiformis","Northern Black Wattle, Ear-pod Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia auriculiformis",
"20615","Acacia ausfeldii","Ausfeld's Wattle, Whipstick Cinnamon Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Near Threatened","Acacia ausfeldii",
"55562","Acacia awestoniana","Stirling Range Wattle","Vulnerable","Acacia awestoniana","16-JUL-2000","","","","03-Jul-08","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Critically Endangered","Acacia awestoniana",
"13563","Acacia axillaris","Midlands Mimosa, Midlands Wattle","Vulnerable","Acacia axillaris","16-JUL-2000","","","","29-Apr-14","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","","",
"14703","Acacia ayersiana","Ayers Rock Mulga","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia ayersiana",
"9226","Acacia bakeri","Marblewood, Scrub Wattle, White Marblewood, Baker's Wattle, Broad-leaved Hickory","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia bakeri",
"74984","Acacia bancroftiorum", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia bancroftiorum",
"16172","Acacia basedowii","Basedow's Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia basedowii",
"20514","Acacia beauverdiana", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia beauverdiana",
"6703","Acacia betchei","Red-tip Wattle","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia betchei",
"65744","Acacia bifaria", ,"","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Endangered","Acacia bifaria",
"2073","Acacia binervata","Two-veined Hickory","","","","","","","","","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","dicots (two seed leaves)","Least Concern","Acacia binervata",
